va,pa,imc_bdf,imc_vendor,imc_device,rir_entry,rir_raw,ways,way_sel,channel_guess,notes
0x0070c5a8203200,0x00000cc75e1200,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203240,0x00000cc75e1240,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203280,0x00000cc75e1280,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82032c0,0x00000cc75e12c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203300,0x00000cc75e1300,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203340,0x00000cc75e1340,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203380,0x00000cc75e1380,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82033c0,0x00000cc75e13c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203400,0x00000cc75e1400,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203440,0x00000cc75e1440,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203480,0x00000cc75e1480,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82034c0,0x00000cc75e14c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203500,0x00000cc75e1500,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203540,0x00000cc75e1540,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203580,0x00000cc75e1580,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82035c0,0x00000cc75e15c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203600,0x00000cc75e1600,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203640,0x00000cc75e1640,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203680,0x00000cc75e1680,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82036c0,0x00000cc75e16c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203700,0x00000cc75e1700,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203740,0x00000cc75e1740,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203780,0x00000cc75e1780,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82037c0,0x00000cc75e17c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8203800,0x00000cc75e1800,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8203840,0x00000cc75e1840,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
